layout,algorithm,evalFn,seed,point,WIN/LOSS,time
trickyClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520905,1207.0,Loss,37.957242488861084
trickyClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520906,563.0,Loss,48.662928104400635
trickyClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520902,202.0,Loss,80.28972625732422
trickyClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520903,931.0,Loss,122.58349752426147
trickyClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520904,1090.0,Loss,59.870105028152466
trickyClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520905,1761.0,Loss,150.50872898101807
trickyClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520906,1606.0,Loss,112.30212140083313
originalClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520902,-136.0,Loss,77.87575578689575
originalClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520903,-328.0,Loss,104.96144700050354
originalClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520904,111.0,Loss,131.17725658416748
originalClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520905,-525.0,Loss,213.1283347606659
originalClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520906,-874.0,Loss,478.3232960700989
originalClassic.lay,MinimaxAgent,betterEvaluationFunction,23520902,1104.0,Win,304.8917610645294
originalClassic.lay,MinimaxAgent,betterEvaluationFunction,23520903,641.0,Loss,128.05653548240662
originalClassic.lay,MinimaxAgent,betterEvaluationFunction,23520904,118.0,Loss,21.044409036636353
originalClassic.lay,MinimaxAgent,betterEvaluationFunction,23520905,478.0,Loss,55.99035668373108
originalClassic.lay,MinimaxAgent,betterEvaluationFunction,23520906,467.0,Loss,65.04203748703003
originalClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520902,398.0,Loss,271.42435908317566
originalClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520903,642.0,Loss,100.5867269039154
originalClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520904,118.0,Loss,16.454379081726074
originalClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520905,2400.0,Win,150.37177991867065
originalClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520906,467.0,Loss,58.379016399383545
originalClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520902,-136.0,Loss,55.46371507644653
originalClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520903,-328.0,Loss,73.09618806838989
originalClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520904,111.0,Loss,100.84320902824402
originalClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520905,-525.0,Loss,132.57910060882568
originalClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520906,-874.0,Loss,337.7988133430481
originalClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520902,1104.0,Win,245.31205224990845
originalClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520903,641.0,Loss,93.33793139457703
originalClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520904,118.0,Loss,14.102481365203857
originalClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520905,478.0,Loss,42.20407295227051
originalClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520906,467.0,Loss,55.18362784385681
originalClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520902,398.0,Loss,213.7988805770874
originalClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520903,642.0,Loss,90.36047077178955
originalClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520904,118.0,Loss,13.628296852111816
originalClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520905,2400.0,Win,135.4146535396576
originalClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520906,467.0,Loss,50.89087915420532
originalClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520902,-136.0,Loss,54.78559851646423
originalClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520903,-328.0,Loss,75.74236464500427
originalClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520904,111.0,Loss,106.55869197845459
originalClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520905,-374.0,Loss,276.5108308792114
originalClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520906,1368.0,Loss,77.18450999259949
originalClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520902,1287.0,Win,218.92352890968323
originalClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520903,641.0,Loss,97.37133359909058
originalClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520904,118.0,Loss,16.22816252708435
originalClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520905,507.0,Loss,49.868189573287964
originalClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520906,-561.0,Loss,342.13165163993835
originalClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520902,398.0,Loss,217.09845852851868
originalClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520903,642.0,Loss,97.30763649940491
originalClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520904,118.0,Loss,15.935420751571655
originalClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520905,1108.0,Win,240.66022515296936
originalClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520906,1582.0,Loss,107.13185620307922
powerClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520902,-22.0,Loss,79.43344736099243
powerClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520903,17.0,Loss,7.594362258911133
powerClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520904,-152.0,Loss,7.901657819747925
powerClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520905,3299.0,Win,32.95391798019409
powerClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520906,135.0,Loss,19.55660390853882
powerClassic.lay,MinimaxAgent,betterEvaluationFunction,23520902,1862.0,Win,67.75105857849121
powerClassic.lay,MinimaxAgent,betterEvaluationFunction,23520903,1659.0,Win,20.013131856918335
powerClassic.lay,MinimaxAgent,betterEvaluationFunction,23520904,-314.0,Loss,7.497702360153198
powerClassic.lay,MinimaxAgent,betterEvaluationFunction,23520905,-278.0,Loss,9.724034070968628
powerClassic.lay,MinimaxAgent,betterEvaluationFunction,23520906,1155.0,Win,12.093875408172607
powerClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520902,1734.0,Win,13.939267873764038
powerClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520903,2642.0,Win,23.363229513168335
powerClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520904,-314.0,Loss,7.550369501113892
powerClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520905,-278.0,Loss,9.701218366622925
powerClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520906,1155.0,Win,11.945978164672852
powerClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520902,-22.0,Loss,55.33762264251709
powerClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520903,17.0,Loss,6.490603685379028
powerClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520904,-152.0,Loss,5.910879850387573
powerClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520905,3299.0,Win,25.673052310943604
powerClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520906,135.0,Loss,14.27429986000061
powerClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520902,1862.0,Win,52.54295992851257
powerClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520903,1659.0,Win,15.866957426071167
powerClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520904,-314.0,Loss,5.950642347335815
powerClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520905,-278.0,Loss,7.188122034072876
powerClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520906,1155.0,Win,9.82106876373291
powerClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520902,1734.0,Win,10.964942932128906
powerClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520903,2642.0,Win,18.463608026504517
powerClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520904,-314.0,Loss,5.894413471221924
powerClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520905,-278.0,Loss,7.169458866119385
powerClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520906,1155.0,Win,9.657885551452637
powerClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520902,581.0,Loss,16.950117349624634
powerClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520903,680.0,Loss,64.85124397277832
powerClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520904,713.0,Loss,39.71369504928589
powerClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520905,1358.0,Loss,30.04939293861389
